bp,d18o
10376,-5.21
10385,-5.05
10394,-5.05
10403,-5.09
10412,-4.9
10421,-5.01
10429,-5.26
10438,-5.36
10447,-5.31
10456,-5.21
10465,-5.17
10474,-5.22
10482,-5.36
10491,-5.26
10500,-5.23
10509,-5.02
10518,-5.29
10527,-5.16
10535,-4.96
10544,-5.04
10553,-5.01
10562,-5.24
10570,-5.05
10577,-5.33
10585,-5.33
10593,-5.29
10600,-5.22
10608,-5.32
10616,-5.44
10624,-5.35
10631,-5.36
10639,-5.34
10647,-5.6
10654,-5.6
10662,-5.6
10670,-5.51
10677,-5.42
10685,-5.23
10693,-5.53
10701,-5.49
10708,-5.72
10716,-5.39
10724,-5.6
10731,-5.38
10739,-5.68
10747,-5.64
10754,-5.57
10762,-5.51
10770,-5.53
10778,-5.55
10785,-5.74
10793,-5.6
10803,-5.47
10814,-5.48
10824,-5.58
10834,-5.35
10845,-5.34
10855,-5.41
10865,-5.27
10876,-5.4
10886,-5.49
10896,-5.47
10907,-5.55
10917,-5.35
10927,-5.24
10938,-5.24
10948,-5.25
10958,-5.26
10969,-5.47
10979,-5.15
10989,-5.22
11000,-4.93
11010,-4.96
11020,-4.93
11031,-4.78
11041,-4.84
11051,-4.73
11062,-4.87
11072,-4.69
11083,-4.78
11087,-4.95
11092,-4.95
11097,-5.38
11102,-5.26
11106,-4.96
11111,-4.72
11116,-5.06
11121,-5.15
11126,-5.26
11130,-5.35
11135,-4.85
11140,-5.24
11145,-4.69
11149,-4.82
11154,-5.07
11159,-4.9
11164,-4.67
11169,-4.75
11173,-5.21
11178,-5.13
11183,-5.24
11188,-4.88
11190,-5.4
11192,-5.4
11195,-5.44
11197,-5.43
11199,-5.37
11201,-5.26
11204,-5.3
11206,-5.28
11208,-5.1
11211,-4.83
11213,-5.07
11215,-5.18
11217,-5.35
11220,-5.32
11222,-5.36
11224,-5.14
11227,-5.23
11229,-5.1
11231,-5.1
11233,-5.2
11236,-5.25
11238,-5.34
11240,-5.43
11242,-5.38
11245,-5.35
11247,-5.38
11249,-5.55
11252,-5.64
11254,-5.78
11256,-5.39
11258,-5.25
11261,-5.35
11263,-5.42
11265,-5.33
11268,-5.55
11270,-5.34
11272,-5.53
11274,-5.32
11277,-5.33
11279,-5.24
11281,-5.23
11284,-5.23
11286,-5.43
11288,-5.28
11290,-5.33
11293,-5.18
11295,-5.37
11297,-5.07
11300,-5.02
11302,-5.07
11304,-5.35
11306,-5.27
11309,-5.22
11311,-5.18
11313,-5.27
11315,-5.03
11318,-5.18
11320,-5.08
11322,-4.96
11325,-4.98
11327,-5.1
11329,-5.14
11331,-5.26
11334,-5.24
11336,-5.11
11338,-5.11
11341,-5.21
11343,-5.01
11345,-5.3
11346,-5.07
11347,-5.2
11348,-5.11
11349,-5.28
11350,-5.09
11352,-5.1
11353,-5.02
11354,-5.17
11355,-5.35
11356,-5.43
11357,-5.23
11358,-5.39
11359,-5.32
11360,-5.42
11361,-5.27
11362,-5.24
11363,-5.11
11364,-5.11
11365,-5.02
11367,-5.08
11368,-4.84
11369,-5.12
11371,-4.77
11373,-4.95
11376,-5.05
11378,-5.15
11380,-5.14
11382,-5.26
11385,-5.23
11387,-5.2
11389,-5.12
11392,-5.2
11394,-5.28
11396,-5.21
11398,-5.27
11401,-5.34
11403,-5.33
11405,-5.21
11408,-5.19
11410,-5.28
11412,-5.23
11414,-5.19
11417,-5.33
11419,-5.11
11421,-5.2
11423,-5.33
11426,-5.23
11428,-5.28
11430,-5.38
11433,-5.37
11435,-5.18
11437,-5.13
11441,-4.91
11445,-4.76
11449,-4.57
11453,-4.42
11457,-4.55
11461,-4.53
11465,-4.62
11469,-4.66
11473,-4.42
11477,-4.74
11481,-4.49
11484,-4.74
11488,-4.83
11492,-5.06
11496,-4.99
11500,-4.94
11504,-4.83
11508,-4.87
11512,-4.86
11516,-4.88
11520,-4.7
11524,-4.81
11528,-4.75
11532,-5.02
11536,-5.12
11540,-5.39
11544,-5.22
11548,-5.18
11551,-5.03
11555,-4.95
11559,-4.77
11563,-4.83
11567,-4.8
11571,-4.56
11575,-4.79
11579,-4.66
11583,-4.63
11587,-4.52
11591,-4.47
11595,-4.69
11599,-4.56
11603,-4.48
11607,-4.43
11611,-5.01
11614,-4.86
11618,-5.02
11622,-4.89
11626,-4.72
11630,-4.84
11634,-4.7
11638,-4.48
11642,-4.67
11646,-4.86
11650,-5.05
11654,-4.93
11658,-4.73
11662,-4.75
11666,-4.67
11670,-4.69
11674,-4.92
11677,-4.58
11681,-5.07
11685,-5.08
11689,-4.96
11693,-5.06
11697,-4.87
11701,-5.1
11705,-4.7
11709,-4.66
11713,-4.74
11722,-4.77
11730,-5.03
11739,-5.07
11748,-4.97
11756,-5
11765,-4.99
11774,-4.93
11783,-5.03
11791,-4.91
11800,-4.64
11809,-4.66
11817,-4.86
11826,-4.83
11835,-5.17
11843,-4.99
11852,-4.55
11861,-4.65
11870,-4.43
11878,-4.31
11887,-4.37
11896,-4.29
11904,-4.38
11913,-4.37
11922,-4.61
11930,-4.81
11939,-4.98
11948,-5.06
11957,-4.97
11965,-4.81
11974,-4.76
11983,-4.77
11991,-4.92
12000,-4.76
12009,-4.81
12017,-4.77
12026,-4.74
12035,-4.59
12044,-4.53
12052,-4.49
12061,-4.42
12070,-4.43
12078,-4.62
12087,-4.52
12088,-4.9
12089,-4.65
12089,-4.83
12090,-4.59
12091,-4.29
12091,-4.35
12092,-4.31
12093,-4.16
12094,-4.76
12094,-4.77
12095,-4.53
12096,-4.48
12096,-4.86
12097,-4.39
12098,-4.21
12099,-4.57
12099,-4.35
12100,-4.73
12101,-4.61
12101,-4.89
12102,-4.99
12103,-4.75
12104,-4.85
12104,-4.75
12105,-4.82
12106,-4.68
12106,-4.76
12107,-4.88
12108,-4.97
12109,-4.61
12109,-4.72
12110,-4.41
12111,-4.72
12111,-4.49
12112,-4.94
12113,-4.85
12114,-4.84
12118,-4.82
12122,-4.84
12127,-4.98
12131,-5.03
12136,-4.91
12140,-4.93
12145,-4.88
12149,-5.01
12154,-4.75
12158,-4.71
12163,-4.71
12167,-4.7
12172,-4.81
12176,-5
12181,-5.01
12185,-4.99
12190,-4.86
12194,-4.83
12199,-4.86
12203,-5.06
12208,-4.94
12212,-5.05
12217,-5.12
12221,-5.14
12226,-5.05
12230,-5.31
12235,-5.08
12239,-4.72
12244,-4.97
12248,-5.08
12252,-4.96
12257,-5.25
12261,-5.36
12266,-5.26
12270,-5.29
12275,-5.08
12279,-5.01
12284,-4.84
12288,-4.55
